split,before_Accuracy,before_Disparate impact,before_Statistical parity diff,before_Equal opportunity diff,before_Average odds diff,after_Accuracy,after_Disparate impact,after_Statistical parity diff,after_Equal opportunity diff,after_Average odds diff
0,0.6925985953538628,0.7343281718281719,-0.20086335312506554,-0.1191953397930261,-0.16698468362649016,0.681793625067531,0.8990302977893777,-0.06736750729077057,0.02336283040010545,-0.036545129422372896
1,0.671528903295516,0.7611607142857143,-0.17341977309562395,-0.10051299886966347,-0.15940597857970892,0.6726094003241491,1.0244565217391306,0.014586709886547866,0.051444801901283976,0.036561347247480586
2,0.6666666666666666,0.7889530090684252,-0.14951918479791815,-0.04003375128971898,-0.12198956640791167,0.6569421934089681,0.9682010393211192,-0.020036335725564403,0.08727681303884027,0.007018326198135
3,0.6720691518098325,0.7944943315420656,-0.1386664461924897,-0.07913068869144457,-0.12561054674040567,0.6709886547811994,1.0218171553010444,0.01277962818604872,0.06390522671338594,0.027517505980409113
4,0.6731496488384657,0.8200022652622041,-0.12339467349949529,-0.06263736263736264,-0.1051181880646555,0.6569421934089681,1.1010138630250363,0.056860004658746854,0.1003375196232339,0.07706198482249754
5,0.681793625067531,0.744398594959588,-0.1779186250771495,-0.11041115142007385,-0.15550247413042204,0.6763911399243652,0.9384987893462469,-0.038187026222918585,0.00871817498447558,-0.011912675450227339
6,0.6564019448946515,0.7298780487804879,-0.20009033423667566,-0.1364684011742835,-0.1793555826458505,0.6569421934089681,0.9559366101275224,-0.027956482463375454,0.0160160160160161,-0.0019342692664932881
7,0.6785521339816315,0.775490034590677,-0.16331176611550446,-0.06436811518778729,-0.14505841890314644,0.6618044300378174,0.9757117187595499,-0.015359878790689674,0.05408101309740654,0.004759052610321113
8,0.6461372231226364,0.8127551233964648,-0.13294973213385808,-0.09287633735583256,-0.11795072348062652,0.6428957320367369,1.0546696502178778,0.03299030616596077,0.06178959491262326,0.05008571017054039
9,0.6753106428957321,0.7906296718897687,-0.14652507464810638,-0.10567605542814684,-0.12684354455495614,0.6742301458670988,1.0645799676898222,0.03792624529907995,0.058609774217513455,0.062376896400278214
